実質季節調整系列,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2011暦年連鎖価格、10億円),,,
"Real, Seasonally Adjusted Series",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2011) Yen),,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,,,,
1980/ 1- 3.,"257,829.7 ","150,976.5 ","148,698.4 ","124,490.4 ","21,445.4 ","35,327.0 ",284.7 ,"43,597.4 ","28,191.6 ",-383.8 ,"-6,422.7 ","16,522.8 ","22,945.5 ","-15,186.4 ",,"4,343.4 ","262,173.1 ",183.5 ,"3,007.3 ","2,823.8 ","262,356.7 ",,"275,622.9 ","205,121.3 ","70,917.6 ",,"80,838.0 ",,"258,046.0 ",,,
4- 6.,"255,945.6 ","150,439.6 ","148,153.3 ","123,679.8 ","21,145.1 ","35,615.4 ",620.4 ,"43,955.6 ","26,909.1 ",-291.6 ,"-7,311.4 ","16,745.4 ","24,056.8 ","-15,136.5 ",,"4,657.4 ","260,603.0 ",77.2 ,"2,786.2 ","2,709.0 ","260,680.2 ",,"275,032.8 ","205,332.6 ","70,053.4 ",,"79,889.5 ",,"255,514.3 ",,,
7- 9.,"261,316.6 ","152,332.1 ","150,005.9 ","125,271.3 ","20,518.9 ","35,435.7 ","1,792.6 ","44,399.8 ","26,983.0 ",-341.0 ,"-5,992.3 ","16,581.7 ","22,574.1 ","-13,812.2 ",,"4,775.5 ","266,092.2 ",241.9 ,"2,689.6 ","2,447.7 ","266,334.1 ",,"278,551.5 ","208,358.4 ","70,512.8 ",,"79,272.8 ",,"258,969.1 ",,,
10-12.,"266,772.3 ","153,105.1 ","150,751.7 ","125,830.1 ","20,022.6 ","36,388.0 ","1,579.3 ","44,887.0 ","28,750.9 ",-609.7 ,"-4,703.5 ","17,710.7 ","22,414.2 ","-12,647.4 ",,"4,924.4 ","271,696.8 ",287.0 ,"2,751.5 ","2,464.5 ","271,983.8 ",,"281,629.3 ","209,539.8 ","72,519.1 ",,"81,486.3 ",,"265,035.6 ",,,
1981/ 1- 3.,"268,719.1 ","153,426.4 ","151,057.3 ","125,975.8 ","20,073.1 ","36,626.4 ","1,395.6 ","45,503.0 ","29,276.2 ",-326.0 ,"-4,611.0 ","18,235.6 ","22,846.6 ","-12,644.7 ",,"5,159.1 ","273,878.2 ",-291.5 ,"3,120.1 ","3,411.6 ","273,586.7 ",,"283,292.0 ","209,867.9 ","73,942.6 ",,"82,238.8 ",,"267,046.6 ",,,
4- 6.,"271,310.7 ","154,594.9 ","152,207.5 ","126,921.2 ","20,410.5 ","36,668.1 ","1,936.3 ","46,528.1 ","28,085.4 ",-347.0 ,"-4,522.9 ","19,109.8 ","23,632.7 ","-12,042.7 ",,"5,083.6 ","276,394.3 ",-181.4 ,"3,568.6 ","3,750.1 ","276,212.9 ",,"285,486.7 ","212,230.3 ","73,708.9 ",,"81,552.2 ",,"268,749.6 ",,,
