類・品目,総合,生鮮食品を除く総合,持家の帰属家賃を除く総合,持家の帰属家賃及び生鮮食品を除く総合,食料（酒類を除く）及びエネルギーを除く総合,食料,生鮮食品,生鮮食品を除く食料,穀類,魚介類,生鮮魚介（再掲）,肉類,乳卵類,野菜・海藻,生鮮野菜（再掲）,果物,生鮮果物（再掲）,油脂・調味料,菓子類,調理食品,飲料,酒類,外食,住居,持家の帰属家賃を除く住居,家賃,持家の帰属家賃を除く家賃,設備修繕・維持,光熱・水道,電気代,ガス代,他の光熱,上下水道料,家具・家事用品,家庭用耐久財,室内装備品,寝具類,家事雑貨,家事用消耗品,家事サービス,被服及び履物,衣料,和服,洋服,シャツ・セーター・下着類,シャツ・セーター類,下着類,履物類,他の被服,被服関連サービス,保健医療,医薬品・健康保持用摂取品,保健医療用品・器具,保健医療サービス,交通・通信,交通,自動車等関係費,通信,教育,授業料等,教科書・学習参考教材,補習教育,教養娯楽,教養娯楽用耐久財,教養娯楽用品,書籍・他の印刷物,教養娯楽サービス,諸雑費,理美容サービス,理美容用品,身の回り用品,たばこ,他の諸雑費,エネルギー,教育関係費,教養娯楽関係費,情報通信関係費,生鮮食品及びエネルギーを除く総合
Group/Item,All items,"All items, less fresh food","All items, less imputed rent","All items, less imputed rent & fresh food","All items, less food (less alcoholic beverages) and energy",Food,Fresh food,"Food, less fresh food",Cereals,Fish & seafood,Fresh fish & seafood (reentry),Meats,Dairy products & eggs,Vegetables & seaweeds,Fresh vegetables (reentry),Fruits,Fresh fruits (reentry),"Oils, fats & seasonings",Cakes & candies,Cooked food,Beverages,Alcoholic beverages,Meals outside the home,Housing,"Housing, less imputed rent",Rent,"Rent, less imputed rent",Repairs & maintenance,"Fuel, light & water charges",Electricity,Gas,Other fuel & light,Water & sewerage charges,Furniture & household utensils,Household durable goods,Interior furnishings,Bedding,Domestic utensils,Domestic non-durable goods,Domestic services,Clothes & footwear,Clothes,Japanese clothing,Clothing,"Shirts, sweaters & underwear",Shirts & sweaters,Underwear,Footwear,Other clothing,Services related to clothing,Medical care,Medicines & health fortification,Medical supplies & appliances,Medical services,Transportation & communication,Public transportation,Private transportation,Communication,Education,School fees,School textbooks & reference books for study,Tutorial fees,Culture & recreation,Recreational durable goods,Recreational goods,Books & other reading materials,Recreational services,Miscellaneous,Personal care services,Toilet articles,Personal effects,Tobacco,Other miscellaneous,Energy,Expenses for education,Expenses for culture & recreation,Expenses for information & communication,"All items, less fresh food and energy"
類・品目符号(Group/Item code),0001,0161,0163,0166,0168,0002,0157,0172,0003,0008,0158,0013,0016,0021,0159,0027,0160,0030,0033,0034,0037,0041,0042,0045,0164,0046,0165,0051,0054,0056,0057,0058,0059,0060,0061,0066,0070,0073,0077,0081,0082,0083,0084,0085,0089,0090,0094,0098,0103,0106,0107,0108,0109,0110,0111,0112,0113,0117,0118,0119,0120,0121,0122,0123,0128,0134,0138,0145,0146,0147,0151,0155,0156,0167,0162,0173,0169,0178
含類総連番(Serial number),001,737,739,742,744,002,733,738,003,023,734,058,070,083,735,134,736,155,178,196,223,242,252,281,740,282,741,290,309,310,312,315,317,320,321,338,343,349,364,379,387,388,389,392,422,423,440,451,458,466,471,472,486,498,504,505,523,549,557,558,570,573,577,578,590,627,639,677,678,685,710,722,725,743,745,746,747,748
ウエイト(Weight),3139338474,3009367190,2668838854,2538867570,2107447669,823299511,129971284,693328227,65389146,68447756,39086504,75209191,36889047,90574112,60452893,32769540,30431887,35836771,73198122,98126000,46006658,37391064,163462104,655327030,184827410,559486051,88986431,95840979,233875366,111648533,56834114,12906356,52486363,109278268,34954064,7781194,8410744,22491850,27147399,8493017,129371336,54513682,2027016,52486666,38501053,27242580,11258473,18059053,10788628,7508920,134980143,38000505,22521064,74458574,463398213,70276282,262595081,130526850,99303039,67705449,2536232,29061358,310444582,18581565,65856101,40075190,185931726,180060986,37057751,45383296,20694853,13713124,63211962,245982358,125483076,340697488,149285881,2763384832
ウエイト１万分比(Weight per 10000),10000,9586,8501,8087,6713,2623,414,2209,208,218,125,240,118,289,193,104,97,114,233,313,147,119,521,2087,589,1782,283,305,745,356,181,41,167,348,111,25,27,72,86,27,412,174,6,167,123,87,36,58,34,24,430,121,72,237,1476,224,836,416,316,216,8,93,989,59,210,128,592,574,118,145,66,44,201,784,400,1085,476,8802
1970  ,32.0,32.2,32.4,32.7,32.3,30.8,27.2,31.7,35.8,23.7,25.5,36.3,47.7,25.2,26.5,32.8,32.1,48.0,28.8,25.6,53.5,45.5,24.6,27.0,25.2,29.0,31.2,20.3,30.3,54.1,24.7,18.8,,75.1,211.4,69.8,62.7,31.4,68.1,18.9,29.3,27.0,23.5,28.7,31.9,30.3,32.8,29.4,39.1,26.2,39.6,49.1,53.9,28.9,39.5,20.3,47.2,79.3,14.2,12.4,27.3,,40.2,1972.3,38.4,19.6,25.1,28.2,16.0,68.5,25.6,23.5,10.5,35.1,,,,32.1
1971  ,33.9,34.3,34.2,34.7,34.4,32.5,27.6,33.7,36.5,26.9,29.5,38.1,51.3,24.7,23.6,32.2,31.5,50.5,31.2,27.1,54.7,47.1,27.0,29.5,27.4,31.6,33.7,22.2,31.2,54.0,25.5,21.0,,78.1,213.3,74.4,66.0,33.6,71.6,20.6,31.9,29.9,27.1,31.1,34.4,32.5,35.3,31.6,41.9,28.9,40.5,50.6,56.3,29.6,40.9,21.0,49.3,82.4,15.4,13.3,30.9,,43.2,1929.2,40.1,22.9,27.5,29.4,18.0,69.9,26.7,23.5,10.6,36.6,,,,34.2
1972  ,35.8,36.3,36.0,36.6,36.5,34.1,28.3,35.7,38.7,28.3,30.9,40.5,53.9,26.9,25.5,30.7,29.9,52.0,32.9,29.5,55.5,47.1,29.3,32.4,29.6,34.9,36.6,23.9,31.8,53.9,26.8,21.2,,79.5,213.6,76.6,67.5,34.9,72.3,22.5,34.2,32.3,30.6,33.0,36.1,34.2,37.1,34.1,43.7,31.3,44.1,52.4,62.6,32.6,42.6,22.3,50.0,85.4,16.7,14.7,31.2,,45.2,1933.6,43.6,23.8,28.9,30.7,20.7,69.4,27.8,23.5,10.7,37.3,,,,36.3
1973  ,41.4,41.7,41.8,42.3,41.6,40.4,35.0,41.8,42.9,33.8,36.3,49.9,62.3,35.9,35.7,34.1,33.4,61.8,38.2,37.3,59.3,50.7,34.7,36.5,35.0,38.0,39.6,31.1,34.5,53.9,30.9,25.1,,94.9,250.4,86.7,83.5,42.4,89.9,24.7,43.7,41.7,40.4,42.4,45.4,43.8,45.9,42.6,50.9,37.3,42.9,54.2,68.4,30.8,46.4,24.0,57.1,86.8,18.7,16.4,35.3,,51.3,2056.3,51.3,27.9,32.5,33.6,25.6,68.0,32.8,23.5,12.5,41.7,,,,41.7
1974  ,50.0,50.4,51.0,51.5,48.9,50.0,42.8,52.1,53.8,43.1,46.4,57.8,79.9,41.7,40.4,42.2,41.4,80.4,52.9,49.8,71.1,59.1,42.7,41.3,41.9,41.1,42.6,41.1,44.0,64.0,40.3,37.1,,121.9,335.7,107.3,97.9,56.5,111.3,30.6,51.0,48.1,45.2,49.5,54.0,50.3,56.3,53.5,60.3,46.2,48.6,57.7,93.9,34.9,55.5,28.6,73.6,88.1,22.4,19.5,43.9,,62.3,2375.0,63.7,38.8,37.1,39.6,35.0,75.5,40.4,23.5,13.4,55.9,,,,50.2
